method,year,catalog_task,model_family,published_signal,code_signal,representative_use,hypersca_relevance,risk_note,recommended_action
"NOTEARS; NOTEARS-MLP; DAG-GNN","2018-2020","Causal Structure","continuous DAG optimization; MLP/GNN acyclicity","published","code available","DAG learning from observational variables","Direct comparator for Stage2 causal graph learning","Strong assumptions; high-dimensional single-cell inputs can violate causal sufficiency","Use as optional structure-learning baseline in causal audit"
"DCI; DCDI; NODAGS-Flow","2020-2023","Causal Structure","PC/CI; graph intervention; normalizing/residual flows","published","code available","Directed graph recovery under interventions or nonlinear flows","Benchmark Step2 PC/CI plus bootstrap choices","May infer unstable equivalence-class edges under unmeasured confounding","Report edge stability and equivalence-class uncertainty"
"Bicycle; Dictys; RiTINI","2023-2024","Causal Structure","ODE/OU; graph interventions; time or perturbation constrained dynamics","published","code available","Time-aware or intervention-aware regulatory direction","Useful for temporal causal sidecar and Step4 dynamics","Requires stronger temporal or perturbation data than current ST/scRNA snapshots","Treat as medium-term sidecar when time/perturbation data exist"
"CellOracle; SCENIC+; LINGER","2022-2024","GRN Inference","prior-informed regression; gradient boosting; Shapley/DNN multiome GRN","published","code available","TF-target and enhancer-linked regulatory mechanism discovery","Strengthens LR-TF-target evidence in target discovery","Curated prior and motif bias; cell-type specificity can be weak","Add optional GRN support score, not hard-coded causal proof"
"Geneformer; scGPT; GeneCompass; scPrint","2023-2025","GRN Inference","foundation gene/cell embeddings; transformer masked expression modeling","published","code available","Gene interaction priors and context-aware representations","Candidate adapter for gene embeddings and cold-start priors","Foundation models can underperform simple baselines and require heavy compute","Use only as optional adapter/baseline, never H-VAE replacement"
"GEARS; AttentionPert","2023-2024","Combinatorial Effect Prediction","GNN; transformer/GNN; co-expression and GO priors","published","code available","Unseen single and paired gene perturbation prediction","Primary external baseline for Step3/Step4 combo ranking","Training data often cell-line Perturb-seq, not CRC TME spatial tissue","Use in perturbation benchmark with OOD splits"
"CPA; MultiCPA; ChemCPA","2022-2023","Combinatorial Effect Prediction","VAE/autoencoder perturbation and covariate decomposition","published","code available","Compositional perturbation and chemical perturbation response","Comparator for hyperbolic latent KO and context transfer","Latent shift assumptions can hide confounding; chemical embeddings not always relevant","Use as latent perturbation baseline"
"CausCell; Squidiff; PDGrapher; State","2024-2025","Combinatorial Effect Prediction","diffusion; GNN; attention/DNN response modeling","published/mixed","code mixed","Nonlinear counterfactual and combination response generation","Informs stronger future diffusion_cf design","Complex models require robust simple baselines and external validation","Keep current diffusion as prototype; benchmark before expansion"
"scGEN; trVAE; Dr.VAE","2019-2020","Context Transfer","VAE/CVAE condition transfer","published","code available","Transfer perturbation effects across cell states or conditions","Relevant to cross-patient and cross-cell-type extrapolation","Can learn batch or condition confounding instead of intervention effect","Use for simple context-transfer baseline"
"CellOT; CondOT; CFGen","2022-2024","Context Transfer","optimal transport; conditional Monge map; conditional flow matching","published","code available","Unpaired control-to-perturbed response mapping across contexts","Useful for OT/flow sidecar and population response mapping","OT couplings can be wrong for divergent populations or batch-shifted data","Add medium-term OT flow benchmark with block-aware coupling"
"Prescient; scDiffusion; Prophet; VirTues","2021-2025","Context Transfer","diffusion; transformer; ViT/multimodal transfer","published/mixed","code mixed","Contextual temporal or multimodal response transfer","Informs dynamic intervention and multimodal adapter design","High complexity and data hunger; evidence may be benchmark-sensitive","Treat as future optional comparator only"
